"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"112030380",2019,0,0,1,2,0,22,0,União das freguesias de Santa Lucrécia de Algeriz e Navarra
"112030381",2019,0,0,2,2,0,6,0,União das freguesias de Vilaça e Fradelos
"112030601",2019,0,0,0,0,0,4,0,Antas
"112030608",2019,1,1,3,0,0,46,0,Forjães
"112030610",2019,0,30,0,0,30,6,0,Gemeses
"112030615",2019,1,0,2,0,0,1,0,Vila Chã
"112030616",2019,0,1,0,3,1,1,0,União das freguesias de Apúlia e Fão
"112030617",2019,0,0,0,0,0,0,0,União das freguesias de Belinho e Mar
"112030618",2019,1,1,0,0,0,6,0,"União das freguesias de Esposende, Marinhas e Gandra"
"112030619",2019,0,0,0,0,0,5,0,União das freguesias de Fonte Boa e Rio Tinto
"112030620",2019,2,0,3,0,0,8,0,União das freguesias de Palmeira de Faro e Curvos
"112031001",2019,1,0,2,0,3,13,0,Balança
"112031003",2019,0,0,0,0,0,0,3,Campo do Gerês
"112031004",2019,1,0,4,0,1,2,0,Carvalheira
"112031008",2019,1,0,3,0,1,0,0,Covide
"112031009",2019,1,0,7,0,0,3,0,Gondoriz
"112031010",2019,0,0,5,0,1,5,0,Moimenta
"112031012",2019,0,0,0,1,0,1,0,Ribeira
"112031013",2019,4,0,0,0,1,2,0,Rio Caldo
"112031014",2019,1,1,2,0,0,4,0,Souto
"112031015",2019,1,0,2,0,0,3,0,Valdosende
"112031017",2019,0,1,1,0,0,5,0,Vilar da Veiga
"112031018",2019,0,0,3,0,1,4,0,União das freguesias de Chamoim e Vilar
"112031019",2019,0,1,5,0,0,5,0,União das freguesias de Chorense e Monte
"112031020",2019,0,0,1,0,1,1,0,União das freguesias de Cibões e Brufe
"112031304",2019,0,0,0,13,0,4,0,Atiães
"112031308",2019,0,0,1,2,0,20,0,Cabanelas
"112031309",2019,1,0,2,0,5,28,0,Cervães
"112031311",2019,1,0,6,9,1,50,0,Coucieiro
"112031313",2019,0,0,4,0,0,4,0,Dossãos
"112031316",2019,0,0,2,0,0,6,0,Freiriz
"112031317",2019,0,0,0,0,0,13,0,Gême
"112031323",2019,0,0,2,2,4,6,0,Lage
"112031324",2019,0,0,3,0,0,6,0,Lanhas
"112031325",2019,0,0,0,0,1,3,0,Loureira
"112031328",2019,0,1,2,2,1,5,0,Moure
"112031330",2019,0,0,0,0,1,2,0,Oleiros
