"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops","region_name"
"119030888",1999,67,2,0,72,5,0,0,5,0,0,União das freguesias de Selho São Lourenço e Gominhães
"119030889",1999,42,0,0,77,8,0,0,3,0,0,União das freguesias de Serzedo e Calvos
"119030890",1999,87,5,9,342,10,0,0,2,0,8,"União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar"
"119030891",1999,54,1,1,43,21,0,0,27,9,0,União das freguesias de Tabuadelo e São Faustino
"119030906",1999,56,3,6,54,3,0,0,1,0,16,Covelas
"119030908",1999,48,6,9,102,2,0,0,1,0,8,Ferreiros
"119030912",1999,22,1,0,15,4,0,0,0,0,0,Galegos
"119030913",1999,51,4,0,94,4,0,0,0,0,1,Garfe
"119030914",1999,52,4,5,65,1,0,0,1,0,11,Geraz do Minho
"119030915",1999,35,3,5,48,1,0,0,0,0,11,Lanhoso
"119030917",1999,27,4,4,101,3,0,0,0,0,14,Monsul
"119030919",1999,14,0,0,128,1,0,0,0,0,0,Póvoa de Lanhoso (Nossa Senhora do Amparo)
"119030921",1999,66,3,5,102,1,0,0,1,0,0,Rendufinho
"119030922",1999,12,0,9,257,3,0,0,0,0,0,Santo Emilião
"119030923",1999,40,1,5,100,1,0,0,0,0,0,São João de Rei
"119030924",1999,59,6,60,69,3,0,0,0,0,12,Serzedelo
"119030925",1999,86,2,0,85,5,0,0,0,0,23,Sobradelo da Goma
"119030926",1999,28,1,3,88,2,0,0,0,0,1,Taíde
"119030927",1999,35,3,4,55,3,0,0,0,0,5,Travassos
"119030929",1999,41,3,7,76,3,0,0,0,0,3,Vilela
"119030930",1999,38,2,5,46,5,0,0,1,0,31,União das freguesias de Águas Santas e Moure
"119030931",1999,59,2,8,89,4,0,0,1,0,0,União das freguesias de Calvos e Frades
"119030932",1999,75,2,29,206,9,0,0,0,1,0,União das freguesias de Campos e Louredo
"119030933",1999,52,4,5,46,3,0,0,0,0,13,União das freguesias de Esperança e Brunhais
"119030934",1999,105,5,6,117,6,0,0,0,0,1,União das freguesias de Fonte Arcada e Oliveira
"119030935",1999,102,17,1,74,1,0,0,0,0,8,"União das freguesias de Verim, Friande e Ajude"
"119031105",1999,18,2,0,59,6,0,0,0,0,1,Cantelães
"119031107",1999,23,3,24,32,4,0,0,0,0,2,Eira Vedra
"119031108",1999,86,5,0,110,8,0,0,0,0,31,Guilhofrei
"119031109",1999,16,2,0,39,6,0,0,0,0,1,Louredo
"119031110",1999,38,4,7,79,8,0,0,0,0,2,Mosteiro
"119031111",1999,44,15,0,19,0,0,0,0,0,10,Parada do Bouro
"119031112",1999,25,3,8,74,7,0,0,0,0,4,Pinheiro
"119031113",1999,100,6,5,341,22,0,0,0,0,3,Rossas
"119031115",1999,26,4,4,25,5,0,0,0,0,3,Salamonde
"119031118",1999,27,4,39,45,1,0,0,0,0,9,Tabuaças
"119031120",1999,29,5,37,33,5,0,0,0,0,4,Vieira do Minho
"119031122",1999,37,3,21,63,4,0,0,1,0,3,União das freguesias de Anissó e Soutelo
"119031123",1999,44,4,0,195,13,0,0,0,0,1,União das freguesias de Anjos e Vilar do Chão
"119031124",1999,46,12,11,18,1,0,0,1,0,3,União das freguesias de Caniçada e Soengas
"119031125",1999,72,9,36,117,10,0,0,0,0,11,União das freguesias de Ruivães e Campos
"119031126",1999,30,4,31,60,6,0,0,0,0,5,União das freguesias de Ventosa e Cova
"119031204",1999,30,1,0,79,3,0,0,1,0,2,Bairro
"119031206",1999,21,0,0,114,6,0,0,0,1,5,Brufe
"119031210",1999,19,0,0,142,2,0,0,0,0,0,Castelões
"119031212",1999,23,0,3,176,4,0,0,0,0,1,Cruz
"119031213",1999,19,0,0,82,0,0,0,1,0,1,Delães
"119031215",1999,36,1,0,1250,14,0,0,0,1,9,Fradelos
"119031216",1999,30,1,0,185,4,0,0,1,0,0,Gavião
"119031219",1999,35,0,0,106,3,0,0,1,0,0,Joane
"119031221",1999,32,0,0,260,3,0,0,4,0,1,Landim
"119031223",1999,27,0,9,361,3,0,0,0,0,0,Louro
"119031224",1999,44,1,0,106,9,0,0,2,0,2,Lousado
"119031225",1999,36,0,0,67,1,0,0,1,0,1,Mogege
"119031227",1999,18,0,2,346,5,0,0,1,0,3,Nine
"119031230",1999,24,0,0,30,1,0,0,1,0,2,Pedome
"119031232",1999,11,1,0,14,1,0,0,0,0,0,Pousada de Saramagos
"119031233",1999,42,0,8,198,4,0,0,20,1,2,Requião
"119031234",1999,10,0,0,20,0,0,0,3,0,1,Riba de Ave
"119031235",1999,37,0,0,343,11,0,0,1,0,8,Ribeirão
"119031239",1999,63,1,0,112,2,0,0,0,2,5,Oliveira (Santa Maria)
"119031241",1999,26,0,1,234,4,0,0,3,0,0,Vale (São Martinho)
"119031242",1999,14,0,0,19,0,0,0,0,0,0,Oliveira (São Mateus)
"119031247",1999,27,1,2,111,5,0,0,1,0,4,Vermoim
"119031249",1999,28,1,0,359,7,0,0,1,0,12,Vilarinho das Cambas
"119031250",1999,44,0,1,239,2,0,0,3,0,7,União das freguesias de Antas e Abade de Vermoim
