Dicofre,Freguesia,Concelho,Distrito,TAA,AREA_EA_Ha,AREA_T_Ha,Des_Simpli
"080902",Marmelete,MONCHIQUE,FARO,ÁREA PRINCIPAL,13990.58,13990.58,Marmelete
"080903",Monchique,MONCHIQUE,FARO,ÁREA PRINCIPAL,15928.02,15928.02,Monchique
"080803",Ameixial,LOULÉ,FARO,ÁREA PRINCIPAL,12384.95,12384.95,Ameixial
"080205",Vaqueiros,ALCOUTIM,FARO,ÁREA PRINCIPAL,14394.43,14394.43,Vaqueiros
"080304",Rogil,ALJEZUR,FARO,ÁREA PRINCIPAL,3495.75,3496.11,Rogil
"020206",São Barnabé,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,14167.35,14167.35,São Barnabé
"081306",São Marcos da Serra,SILVES,FARO,ÁREA PRINCIPAL,16606.61,16606.61,São Marcos da Serra
"080303",Odeceixe,ALJEZUR,FARO,ÁREA PRINCIPAL,4189.67,4190.57,Odeceixe
"080203",Martim Longo,ALCOUTIM,FARO,ÁREA PRINCIPAL,12844.66,12844.66,Martim Longo
"080202",Giões,ALCOUTIM,FARO,ÁREA PRINCIPAL,7179.80,7179.80,Giões
"020205",Santa Cruz,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,12338.05,12338.05,Santa Cruz
"080206",União das freguesias de Alcoutim e Pereiro,ALCOUTIM,FARO,ÁREA PRINCIPAL,23117.44,23117.44,Alcoutim e Pereiro
"021103",Sabóia,ODEMIRA,BEJA,ÁREA PRINCIPAL,15542.41,15542.41,Sabóia
"020210",União das freguesias de Santa Clara-a-Nova e Gomes Aires,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,17381.37,17381.37,Santa Clara-a-Nova e Gomes Aires
"021206",Santana da Serra,OURIQUE,BEJA,ÁREA PRINCIPAL,19094.23,19094.23,Santana da Serra
"021119",Santa Clara-a-Velha,ODEMIRA,BEJA,ÁREA PRINCIPAL,16367.35,16367.35,Santa Clara-a-Velha
"020209",União das freguesias de Almodôvar e Graça dos Padrões,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,25706.57,25706.57,Almodôvar e Graça dos Padrões
"021116",Boavista dos Pinheiros,ODEMIRA,BEJA,ÁREA PRINCIPAL,3784.53,3784.53,Boavista dos Pinheiros
"020208",Aldeia dos Fernandes,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,2125.80,2125.80,Aldeia dos Fernandes
"020903",Espírito Santo,MÉRTOLA,BEJA,ÁREA PRINCIPAL,13592.15,13592.15,Espírito Santo
"020203",Rosário,ALMODÔVAR,BEJA,ÁREA PRINCIPAL,6068.88,6068.88,Rosário
"021121",São Teotónio,ODEMIRA,BEJA,ÁREA PRINCIPAL,34725.46,34725.46,São Teotónio
"021115",Luzianes-Gare,ODEMIRA,BEJA,ÁREA PRINCIPAL,9435.60,9435.60,Luzianes-Gare
"020910","União das freguesias de São Miguel do Pinheiro, São Pedro de Solis e São Sebastião dos Carros",MÉRTOLA,BEJA,ÁREA PRINCIPAL,27537.77,27537.77,"S. Mig. Pinheiro, S. Pedro Solis, S. Sebastião dos Carros"
"020604",Santa Bárbara de Padrões,CASTRO VERDE,BEJA,ÁREA PRINCIPAL,6631.47,6631.47,Santa Bárbara de Padrões
"021120",São Salvador e Santa Maria,ODEMIRA,BEJA,ÁREA PRINCIPAL,12099.74,12099.74,São Salvador e Santa Maria
"020906",São João dos Caldeireiros,MÉRTOLA,BEJA,ÁREA PRINCIPAL,10395.45,10395.45,São João dos Caldeireiros
"021107",São Martinho das Amoreiras,ODEMIRA,BEJA,ÁREA PRINCIPAL,14417.16,14417.16,São Martinho das Amoreiras
"021117",Longueira/Almograve,ODEMIRA,BEJA,ÁREA PRINCIPAL,9169.06,9169.06,Longueira/Almograve
"021203",Ourique,OURIQUE,BEJA,ÁREA PRINCIPAL,24969.54,24969.54,Ourique
"021102",Relíquias,ODEMIRA,BEJA,ÁREA PRINCIPAL,12008.27,12008.27,Relíquias
"021207",União das freguesias de Garvão e Santa Luzia,OURIQUE,BEJA,ÁREA PRINCIPAL,7914.61,7914.61,Garvão e Santa Luzia
"021106",São Luís,ODEMIRA,BEJA,ÁREA PRINCIPAL,14664.69,14664.69,São Luís
"020902",Corte do Pinto,MÉRTOLA,BEJA,ÁREA PRINCIPAL,7145.95,7145.95,Corte do Pinto
"020905",Santana de Cambas,MÉRTOLA,BEJA,ÁREA PRINCIPAL,16672.11,16672.11,Santana de Cambas
"020605",São Marcos da Ataboeira,CASTRO VERDE,BEJA,ÁREA PRINCIPAL,10413.07,10413.07,São Marcos da Ataboeira
"020603",Entradas,CASTRO VERDE,BEJA,ÁREA PRINCIPAL,7622.90,7622.90,Entradas
"021111",Vila Nova de Milfontes,ODEMIRA,BEJA,ÁREA PRINCIPAL,7648.10,7648.10,Vila Nova de Milfontes
"020606",União das freguesias de Castro Verde e Casével,CASTRO VERDE,BEJA,ÁREA PRINCIPAL,32276.78,32276.78,Castro Verde e Casével
"021118",Colos,ODEMIRA,BEJA,ÁREA PRINCIPAL,10976.92,10976.92,Colos
"020904",Mértola,MÉRTOLA,BEJA,ÁREA PRINCIPAL,32277.03,32277.03,Mértola
"020901",Alcaria Ruiva,MÉRTOLA,BEJA,ÁREA PRINCIPAL,21666.87,21666.87,Alcaria Ruiva
"021208",União das freguesias de Panoias e Conceição,OURIQUE,BEJA,ÁREA PRINCIPAL,14352.98,14352.98,Panoias e Conceição
"021122",Vale de Santiago,ODEMIRA,BEJA,ÁREA PRINCIPAL,11220.87,11220.87,Vale de Santiago
"151302",Porto Covo,SINES,SETÚBAL,ÁREA PRINCIPAL,5066.88,5072.19,Porto Covo
"150903",Cercal,SANTIAGO DO CACÉM,SETÚBAL,ÁREA PRINCIPAL,13748.53,13748.53,Cercal
"020103",Messejana,ALJUSTREL,BEJA,ÁREA PRINCIPAL,11376.56,11376.56,Messejana
"020519",União das freguesias de Albernoa e Trindade,BEJA,BEJA,ÁREA PRINCIPAL,20938.50,20938.50,Albernoa e Trindade
