"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"16J090908",2009,0,64,6,0,17,130,0,Marialva
"16J090912",2009,0,311,5,0,61,301,0,Poço do Canto
"16J090914",2009,0,125,5,0,14,128,0,Rabaçal
"16J090915",2009,0,80,11,0,148,95,0,Ranhados
"16J090917",2009,0,542,13,0,219,561,0,"União das freguesias de Mêda, Outeiro de Gatos e Fonte Longa"
"16J090918",2009,0,32,8,0,138,117,0,União das freguesias de Prova e Casteição
"16J090919",2009,0,106,10,0,52,222,0,"União das freguesias de Vale Flor, Carvalhal e Pai Penela"
"16J091009",2009,0,235,2,0,26,98,0,Ervedosa
"16J091010",2009,0,33,7,0,4,324,0,Freixedas
"16J091012",2009,0,2,12,0,1,79,0,Lamegal
"16J091013",2009,0,20,2,0,2,162,0,Lameiras
"16J091014",2009,0,27,5,0,1,102,0,Manigoto
"16J091015",2009,0,54,10,0,2,500,0,Pala
"16J091017",2009,0,505,40,0,15,469,0,Pinhel
"16J091018",2009,0,2,2,0,12,59,0,Pínzio
"16J091024",2009,0,35,20,0,1,339,0,Souro Pires
"16J091027",2009,0,44,6,0,0,146,0,Vascoveiro
"16J091028",2009,0,4,7,0,14,82,0,Agregação das freguesias Sul de Pinhel
"16J091029",2009,0,66,16,0,6,300,0,Alverca da Beira/Bouça Cova
"16J091030",2009,0,50,64,0,1,166,0,Terras de Massueime
"16J091031",2009,0,278,77,0,19,271,0,Valbom/Bogalhal
"16J091032",2009,0,357,31,0,1,188,0,Alto do Palurdo
"16J091033",2009,0,369,10,0,28,156,0,Vale do Côa
"16J091034",2009,0,245,56,0,6,159,0,Vale do Massueime
"16J091035",2009,0,35,1,0,3,110,0,União das freguesias de Atalaia e Safurdão
"16J091101",2009,0,4,0,0,0,1,0,Águas Belas
"16J091102",2009,0,0,1,0,1,0,0,Aldeia do Bispo
"16J091103",2009,0,0,0,0,0,5,0,Aldeia da Ponte
"16J091106",2009,0,0,0,0,1,1,0,Aldeia Velha
"16J091107",2009,0,0,1,0,4,9,0,Alfaiates
"16J091109",2009,0,0,0,0,0,3,0,Baraçal
"16J091110",2009,0,63,17,0,0,23,0,Bendada
"16J091111",2009,0,0,0,0,0,5,0,Bismula
"16J091112",2009,0,69,40,0,0,19,0,Casteleiro
"16J091113",2009,0,6,1,0,1,18,0,Cerdeira
"16J091114",2009,0,0,0,0,19,0,0,Fóios
"16J091118",2009,0,0,0,0,2,0,0,Malcata
"16J091120",2009,0,0,0,0,1,13,0,Nave
"16J091123",2009,0,3,1,0,33,1,0,Quadrazais
"16J091124",2009,0,0,0,0,0,0,0,Quintas de São Bartolomeu
"16J091125",2009,0,0,0,0,1,4,0,Rapoula do Côa
"16J091126",2009,0,0,0,0,0,8,0,Rebolosa
"16J091127",2009,0,1,0,0,1,7,0,Rendo
"16J091133",2009,0,42,2,0,9,18,0,Sortelha
"16J091134",2009,0,0,0,0,30,0,0,Souto
"16J091136",2009,0,0,0,0,20,0,0,Vale de Espinho
"16J091138",2009,0,0,0,0,1,9,0,Vila Boa
"16J091139",2009,0,0,0,0,1,5,0,Vila do Touro
"16J091141",2009,0,0,1,0,0,26,0,"União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos"
"16J091142",2009,0,0,0,0,3,0,0,União das freguesias de Lajeosa e Forcalhos
"16J091143",2009,0,10,3,0,9,6,0,"União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba"
"16J091144",2009,0,0,0,0,1,6,0,"União das freguesias de Ruvina, Ruivós e Vale das Éguas"
"16J091145",2009,0,9,3,0,10,9,0,União das freguesias do Sabugal e Aldeia de Santo António
"16J091146",2009,0,106,10,0,16,13,0,União das freguesias de Santo Estêvão e Moita
"16J091147",2009,0,0,1,0,0,17,0,União das freguesias de Seixo do Côa e Vale Longo
"16J091201",2009,0,13,0,0,0,0,0,Alvoco da Serra
"16J091205",2009,0,77,1,0,0,66,0,Girabolhos
"16J091207",2009,0,3,1,0,6,0,0,Loriga
"16J091208",2009,0,117,4,0,3,38,0,Paranhos
"16J091209",2009,0,47,15,0,2,86,0,Pinhanços
"16J091210",2009,0,1,0,0,0,0,0,Sabugueiro
"16J091212",2009,0,30,15,0,6,38,0,Sandomil
"16J091213",2009,0,106,8,0,0,68,0,Santa Comba
"16J091216",2009,0,85,4,0,6,7,0,Santiago
"16J091219",2009,0,6,0,0,4,1,0,Sazes da Beira
"16J091221",2009,0,17,0,0,1,0,0,Teixeira
"16J091224",2009,0,87,2,0,4,10,0,Travancinha
"16J091225",2009,0,3,0,0,0,1,0,Valezim
"16J091228",2009,0,6,0,0,4,1,0,Vila Cova à Coelheira
"16J091230",2009,0,117,5,0,3,2,0,União das freguesias de Carragozela e Várzea de Meruge
"16J091231",2009,0,149,33,0,5,29,3,União das freguesias de Sameice e Santa Eulália
"16J091232",2009,0,143,6,0,10,61,0,União das freguesias de Santa Marinha e São Martinho
"16J091233",2009,0,109,6,0,23,39,0,"União das freguesias de Seia, São Romão e Lapa dos Dinheiros"
"16J091234",2009,0,80,1,0,5,11,0,União das freguesias de Torrozelo e Folhadosa
"16J091235",2009,0,178,5,0,14,60,0,União das freguesias de Tourais e Lajes
"16J091236",2009,0,25,0,0,0,7,0,União das freguesias de Vide e Cabeça
"16J091301",2009,1,45,4,0,13,10,0,Aldeia Nova
"16J091303",2009,0,1,0,0,40,1,0,Castanheira
"16J091304",2009,0,64,0,0,2,31,0,Cogula
"16J091305",2009,0,183,2,0,8,72,0,Cótimos
"16J091307",2009,0,4,2,0,23,1,0,Fiães
"16J091309",2009,0,24,33,0,4,134,0,Granja
"16J091310",2009,0,3,3,0,154,2,0,Guilheiro
"16J091311",2009,0,27,0,0,3,75,0,Moimentinha
"16J091312",2009,0,54,4,0,55,25,0,Moreira de Rei
"16J091313",2009,0,0,0,0,6,2,0,Palhais
"16J091314",2009,0,21,5,0,8,50,0,Póvoa do Concelho
"16J091315",2009,0,0,0,0,4,1,0,Reboleiro
"16J091316",2009,0,2,10,0,63,3,0,Rio de Mel
"16J091321",2009,0,16,1,0,209,13,0,Tamanhos
"16J091325",2009,0,141,1,0,7,68,0,Valdujo
"16J091330",2009,0,234,11,0,71,58,0,União das freguesias de Freches e Torres
"16J091331",2009,0,5,4,0,304,20,0,"União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho"
"16J091332",2009,0,150,8,0,335,70,0,União das freguesias de Trancoso (São Pedro e Santa Maria) e Souto Maior
