Nuts_region_perm,NutsID,region_name,Perm_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160144_Senharei_Fruit plantations (subtropical climate zones),111160144,Senharei,Fruit plantations (subtropical climate zones),0,0,0,0
111160144_Senharei_Nuts plantations,111160144,Senharei,Nuts plantations,0,0,0,0
111160144_Senharei_Vineyards,111160144,Senharei,Vineyards,6,5,4,1
111160144_Senharei_Other permanent crops,111160144,Senharei,Other permanent crops,0,0,0,0
111160145_Sistelo_Citrus plantations,111160145,Sistelo,Citrus plantations,0,0,0,0
111160145_Sistelo_Olive plantations,111160145,Sistelo,Olive plantations,0,0,0,0
111160145_Sistelo_Fresh fruit plantations (excluding citrus plantations),111160145,Sistelo,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160145_Sistelo_Fruit plantations (subtropical climate zones),111160145,Sistelo,Fruit plantations (subtropical climate zones),0,0,0,0
111160145_Sistelo_Nuts plantations,111160145,Sistelo,Nuts plantations,0,0,0,0
111160145_Sistelo_Vineyards,111160145,Sistelo,Vineyards,7,7,3,1
111160145_Sistelo_Other permanent crops,111160145,Sistelo,Other permanent crops,0,0,0,0
111160146_Soajo_Citrus plantations,111160146,Soajo,Citrus plantations,0,0,0,0
111160146_Soajo_Olive plantations,111160146,Soajo,Olive plantations,0,0,0,0
111160146_Soajo_Fresh fruit plantations (excluding citrus plantations),111160146,Soajo,Fresh fruit plantations (excluding citrus plantations),0,1,0,1
111160146_Soajo_Fruit plantations (subtropical climate zones),111160146,Soajo,Fruit plantations (subtropical climate zones),0,0,0,0
111160146_Soajo_Nuts plantations,111160146,Soajo,Nuts plantations,0,0,0,0
111160146_Soajo_Vineyards,111160146,Soajo,Vineyards,30,31,10,8
111160146_Soajo_Other permanent crops,111160146,Soajo,Other permanent crops,0,0,0,0
111160149_Vale_Citrus plantations,111160149,Vale,Citrus plantations,1,0,0,0
111160149_Vale_Olive plantations,111160149,Vale,Olive plantations,6,0,1,0
111160149_Vale_Fresh fruit plantations (excluding citrus plantations),111160149,Vale,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160149_Vale_Fruit plantations (subtropical climate zones),111160149,Vale,Fruit plantations (subtropical climate zones),0,0,0,0
111160149_Vale_Nuts plantations,111160149,Vale,Nuts plantations,0,1,0,3
111160149_Vale_Vineyards,111160149,Vale,Vineyards,27,22,18,16
111160149_Vale_Other permanent crops,111160149,Vale,Other permanent crops,0,0,0,0
111160152_União das freguesias de Alvora e Loureda_Citrus plantations,111160152,União das freguesias de Alvora e Loureda,Citrus plantations,0,0,0,0
111160152_União das freguesias de Alvora e Loureda_Olive plantations,111160152,União das freguesias de Alvora e Loureda,Olive plantations,0,0,0,0
111160152_União das freguesias de Alvora e Loureda_Fresh fruit plantations (excluding citrus plantations),111160152,União das freguesias de Alvora e Loureda,Fresh fruit plantations (excluding citrus plantations),0,0,0,2
111160152_União das freguesias de Alvora e Loureda_Fruit plantations (subtropical climate zones),111160152,União das freguesias de Alvora e Loureda,Fruit plantations (subtropical climate zones),0,0,0,0
111160152_União das freguesias de Alvora e Loureda_Nuts plantations,111160152,União das freguesias de Alvora e Loureda,Nuts plantations,0,0,0,0
111160152_União das freguesias de Alvora e Loureda_Vineyards,111160152,União das freguesias de Alvora e Loureda,Vineyards,49,20,10,16
111160152_União das freguesias de Alvora e Loureda_Other permanent crops,111160152,União das freguesias de Alvora e Loureda,Other permanent crops,0,0,0,0
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Citrus plantations,111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Citrus plantations,0,1,0,0
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Olive plantations,111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Olive plantations,2,1,1,1
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Fresh fruit plantations (excluding citrus plantations),111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Fresh fruit plantations (excluding citrus plantations),1,0,0,0
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Fruit plantations (subtropical climate zones),111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Fruit plantations (subtropical climate zones),0,0,0,1
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Nuts plantations,111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Nuts plantations,0,2,0,3
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Vineyards,111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Vineyards,22,38,32,33
111160153_União das freguesias de Arcos de Valdevez (São Paio) e Giela_Other permanent crops,111160153,União das freguesias de Arcos de Valdevez (São Paio) e Giela,Other permanent crops,0,0,0,0
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Citrus plantations",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Citrus plantations,0,0,0,0
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Olive plantations",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Olive plantations,0,0,0,0
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Fresh fruit plantations (excluding citrus plantations)",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Fresh fruit plantations (excluding citrus plantations),0,0,0,0
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Fruit plantations (subtropical climate zones)",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Fruit plantations (subtropical climate zones),0,0,0,0
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Nuts plantations",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Nuts plantations,0,6,0,3
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Vineyards",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Vineyards,16,10,3,5
"111160154_União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada_Other permanent crops",111160154,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada",Other permanent crops,0,4,0,0
111160155_União das freguesias de Eiras e Mei_Citrus plantations,111160155,União das freguesias de Eiras e Mei,Citrus plantations,0,0,0,0
111160155_União das freguesias de Eiras e Mei_Olive plantations,111160155,União das freguesias de Eiras e Mei,Olive plantations,0,0,0,0
111160155_União das freguesias de Eiras e Mei_Fresh fruit plantations (excluding citrus plantations),111160155,União das freguesias de Eiras e Mei,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160155_União das freguesias de Eiras e Mei_Fruit plantations (subtropical climate zones),111160155,União das freguesias de Eiras e Mei,Fruit plantations (subtropical climate zones),0,0,0,0
111160155_União das freguesias de Eiras e Mei_Nuts plantations,111160155,União das freguesias de Eiras e Mei,Nuts plantations,0,0,0,1
111160155_União das freguesias de Eiras e Mei_Vineyards,111160155,União das freguesias de Eiras e Mei,Vineyards,18,13,7,7
111160155_União das freguesias de Eiras e Mei_Other permanent crops,111160155,União das freguesias de Eiras e Mei,Other permanent crops,0,0,0,0
111160156_União das freguesias de Grade e Carralcova_Citrus plantations,111160156,União das freguesias de Grade e Carralcova,Citrus plantations,0,0,0,0
111160156_União das freguesias de Grade e Carralcova_Olive plantations,111160156,União das freguesias de Grade e Carralcova,Olive plantations,1,1,0,0
111160156_União das freguesias de Grade e Carralcova_Fresh fruit plantations (excluding citrus plantations),111160156,União das freguesias de Grade e Carralcova,Fresh fruit plantations (excluding citrus plantations),0,0,0,2
111160156_União das freguesias de Grade e Carralcova_Fruit plantations (subtropical climate zones),111160156,União das freguesias de Grade e Carralcova,Fruit plantations (subtropical climate zones),0,0,0,0
111160156_União das freguesias de Grade e Carralcova_Nuts plantations,111160156,União das freguesias de Grade e Carralcova,Nuts plantations,0,0,0,2
111160156_União das freguesias de Grade e Carralcova_Vineyards,111160156,União das freguesias de Grade e Carralcova,Vineyards,22,17,9,13
111160156_União das freguesias de Grade e Carralcova_Other permanent crops,111160156,União das freguesias de Grade e Carralcova,Other permanent crops,0,0,0,0
111160157_União das freguesias de Guilhadeses e Santar_Citrus plantations,111160157,União das freguesias de Guilhadeses e Santar,Citrus plantations,0,0,1,0
111160157_União das freguesias de Guilhadeses e Santar_Olive plantations,111160157,União das freguesias de Guilhadeses e Santar,Olive plantations,2,1,0,1
111160157_União das freguesias de Guilhadeses e Santar_Fresh fruit plantations (excluding citrus plantations),111160157,União das freguesias de Guilhadeses e Santar,Fresh fruit plantations (excluding citrus plantations),0,2,2,5
111160157_União das freguesias de Guilhadeses e Santar_Fruit plantations (subtropical climate zones),111160157,União das freguesias de Guilhadeses e Santar,Fruit plantations (subtropical climate zones),0,0,0,0
111160157_União das freguesias de Guilhadeses e Santar_Nuts plantations,111160157,União das freguesias de Guilhadeses e Santar,Nuts plantations,0,2,2,3
111160157_União das freguesias de Guilhadeses e Santar_Vineyards,111160157,União das freguesias de Guilhadeses e Santar,Vineyards,28,24,16,12
111160157_União das freguesias de Guilhadeses e Santar_Other permanent crops,111160157,União das freguesias de Guilhadeses e Santar,Other permanent crops,0,0,0,0
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Citrus plantations,111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Citrus plantations,0,0,1,0
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Olive plantations,111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Olive plantations,6,2,1,2
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Fresh fruit plantations (excluding citrus plantations),111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Fresh fruit plantations (excluding citrus plantations),0,0,1,0
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Fruit plantations (subtropical climate zones),111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Fruit plantations (subtropical climate zones),0,0,0,1
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Nuts plantations,111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Nuts plantations,1,0,2,6
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Vineyards,111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Vineyards,49,44,18,23
111160158_União das freguesias de Jolda (Madalena) e Rio Cabrão_Other permanent crops,111160158,União das freguesias de Jolda (Madalena) e Rio Cabrão,Other permanent crops,0,0,0,0
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Citrus plantations,111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Citrus plantations,0,0,0,0
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Olive plantations,111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Olive plantations,1,1,0,1
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Fresh fruit plantations (excluding citrus plantations),111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Fresh fruit plantations (excluding citrus plantations),0,1,0,0
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Fruit plantations (subtropical climate zones),111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Fruit plantations (subtropical climate zones),0,0,0,0
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Nuts plantations,111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Nuts plantations,0,0,7,10
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Vineyards,111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Vineyards,23,36,50,16
111160159_União das freguesias de Padreiro (Salvador e Santa Cristina)_Other permanent crops,111160159,União das freguesias de Padreiro (Salvador e Santa Cristina),Other permanent crops,0,0,0,0
111160160_União das freguesias de Portela e Extremo_Citrus plantations,111160160,União das freguesias de Portela e Extremo,Citrus plantations,0,0,0,0
111160160_União das freguesias de Portela e Extremo_Olive plantations,111160160,União das freguesias de Portela e Extremo,Olive plantations,0,0,0,0
111160160_União das freguesias de Portela e Extremo_Fresh fruit plantations (excluding citrus plantations),111160160,União das freguesias de Portela e Extremo,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160160_União das freguesias de Portela e Extremo_Fruit plantations (subtropical climate zones),111160160,União das freguesias de Portela e Extremo,Fruit plantations (subtropical climate zones),0,0,0,0
111160160_União das freguesias de Portela e Extremo_Nuts plantations,111160160,União das freguesias de Portela e Extremo,Nuts plantations,0,0,0,2
111160160_União das freguesias de Portela e Extremo_Vineyards,111160160,União das freguesias de Portela e Extremo,Vineyards,18,8,6,1
111160160_União das freguesias de Portela e Extremo_Other permanent crops,111160160,União das freguesias de Portela e Extremo,Other permanent crops,0,0,0,0
111160161_União das freguesias de São Jorge e Ermelo_Citrus plantations,111160161,União das freguesias de São Jorge e Ermelo,Citrus plantations,4,1,0,0
111160161_União das freguesias de São Jorge e Ermelo_Olive plantations,111160161,União das freguesias de São Jorge e Ermelo,Olive plantations,7,0,0,1
111160161_União das freguesias de São Jorge e Ermelo_Fresh fruit plantations (excluding citrus plantations),111160161,União das freguesias de São Jorge e Ermelo,Fresh fruit plantations (excluding citrus plantations),0,0,0,1
111160161_União das freguesias de São Jorge e Ermelo_Fruit plantations (subtropical climate zones),111160161,União das freguesias de São Jorge e Ermelo,Fruit plantations (subtropical climate zones),0,0,0,0
111160161_União das freguesias de São Jorge e Ermelo_Nuts plantations,111160161,União das freguesias de São Jorge e Ermelo,Nuts plantations,0,0,0,0
111160161_União das freguesias de São Jorge e Ermelo_Vineyards,111160161,União das freguesias de São Jorge e Ermelo,Vineyards,34,42,28,26
