"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"112030235",1999,1,1,1,0,1,37,0
"112030237",1999,0,0,1,0,0,16,0
"112030242",1999,1,0,1,0,0,42,0
"112030243",1999,0,0,2,0,0,15,0
"112030244",1999,0,0,0,0,0,24,0
"112030245",1999,0,0,0,0,0,35,0
"112030247",1999,0,0,2,0,0,11,0
"112030252",1999,0,0,1,2,0,31,0
"112030254",1999,2,1,2,0,0,10,0
"112030255",1999,1,0,1,0,0,15,0
"112030256",1999,0,0,0,0,0,9,0
"112030257",1999,0,0,0,0,0,24,0
"112030259",1999,0,0,0,0,0,12,0
"112030260",1999,1,0,1,3,0,22,0
"112030261",1999,0,0,1,0,0,20,0
"112030263",1999,0,0,5,0,5,73,0
"112030264",1999,2,0,1,0,0,24,0
"112030265",1999,0,0,0,0,0,13,0
"112030268",1999,0,0,0,0,0,10,0
"112030272",1999,0,0,1,1,0,9,0
"112030277",1999,1,0,2,0,1,8,0
"112030279",1999,1,0,1,0,0,9,0
"112030282",1999,0,0,1,3,1,41,0
"112030283",1999,0,0,2,0,0,10,0
"112030287",1999,0,0,2,0,0,29,0
"112030290",1999,1,1,2,0,1,25,0
"112030291",1999,7,4,1,1,0,28,0
"112030292",1999,0,0,4,5,6,67,0
"112030293",1999,1,0,2,4,2,39,1
"112030294",1999,0,1,0,0,0,34,0
"112030295",1999,0,0,0,0,0,55,5
"112030296",1999,2,0,2,1,0,86,0
"112030297",1999,1,0,1,0,0,29,0
"112030298",1999,0,1,0,1,0,29,1
"112030299",1999,0,0,0,0,0,28,0
"1120302FA",1999,1,1,1,0,0,29,0
"1120302FB",1999,0,0,0,0,0,32,0
"1120302FC",1999,0,1,0,0,0,20,0
"1120302FD",1999,0,0,0,0,0,29,0
"1120302FE",1999,1,0,5,0,0,83,0
"1120302FF",1999,1,0,1,4,0,10,0
"1120302FG",1999,2,0,3,1,0,62,0
"1120302FH",1999,6,1,4,0,0,50,0
"112030301",1999,2,1,3,0,2,67,0
"112030312",1999,1,0,1,0,1,10,2
"112030313",1999,1,1,4,1,3,22,0
"112030315",1999,0,0,1,0,0,19,0
"112030319",1999,0,0,0,0,1,12,0
"112030322",1999,0,0,0,0,0,5,0
"112030325",1999,1,0,8,0,0,20,0
"112030330",1999,0,0,0,0,1,7,0
"112030331",1999,0,0,4,4,7,69,0
"112030334",1999,0,1,0,0,1,11,0
"112030336",1999,0,0,0,1,0,26,0
"112030338",1999,0,0,0,0,0,23,0
"112030349",1999,0,0,0,0,0,1,0
"112030351",1999,0,0,2,0,0,3,0
"112030354",1999,0,0,1,0,2,22,0
"112030355",1999,0,0,0,0,0,14,0
"112030356",1999,1,0,0,0,0,16,0
"112030357",1999,0,0,0,0,0,8,0
"112030363",1999,1,0,0,2,0,29,0
"112030364",1999,2,1,2,0,0,8,0
"112030365",1999,0,0,0,0,0,0,0
"112030366",1999,0,0,1,1,1,23,0
"112030367",1999,0,0,0,2,0,24,0
"112030368",1999,5,3,5,0,0,89,0
"112030369",1999,4,0,9,3,4,41,0
"112030370",1999,1,2,0,5,0,18,0
"112030371",1999,0,0,3,5,0,27,0
"112030372",1999,0,0,0,4,0,12,0
"112030373",1999,0,0,1,0,0,21,0
"112030374",1999,1,0,7,0,1,33,0
"112030375",1999,0,0,11,0,1,21,6
"112030376",1999,0,0,0,0,0,18,0
"112030377",1999,1,0,2,2,0,20,0
"112030378",1999,1,0,1,0,1,14,0
"112030379",1999,2,0,6,5,2,72,0
"112030380",1999,3,1,0,1,0,34,0
"112030381",1999,0,0,2,0,0,39,0
"112030601",1999,1,0,2,0,0,35,0
"112030608",1999,2,1,3,0,1,34,0
"112030610",1999,1,0,1,0,0,7,0
"112030615",1999,0,0,0,0,0,10,0
"112030616",1999,0,0,0,0,0,8,0
"112030617",1999,0,0,0,0,0,5,0
"112030618",1999,4,0,4,0,0,8,0
"112030619",1999,0,0,0,0,0,30,0
"112030620",1999,3,1,4,0,0,35,0
"112031001",1999,1,0,3,0,2,20,0
"112031003",1999,0,0,0,0,0,1,0
"112031004",1999,0,0,0,0,0,10,0
"112031008",1999,0,0,0,0,0,10,0
"112031009",1999,0,0,0,0,0,12,0
"112031010",1999,2,0,3,0,0,13,0
"112031012",1999,1,1,0,0,0,6,0
"112031013",1999,0,1,0,0,1,14,0
"112031014",1999,0,0,0,0,0,12,0
"112031015",1999,2,1,0,0,0,12,0
"112031017",1999,0,1,0,0,0,13,0
"112031018",1999,0,1,0,0,2,26,0
"112031019",1999,1,2,0,0,0,20,0
"112031020",1999,0,0,0,0,0,20,0
"112031304",1999,1,0,1,21,0,10,0
"112031308",1999,0,0,0,2,0,31,5
"112031309",1999,0,0,1,1,0,41,0
"112031311",1999,1,0,1,8,3,48,0
"112031313",1999,1,0,0,0,0,21,0
"112031316",1999,1,0,2,0,0,13,0
"112031317",1999,0,0,1,1,0,13,0
"112031323",1999,2,0,4,3,1,13,0
"112031324",1999,0,0,0,0,1,15,0
"112031325",1999,0,0,2,0,0,13,0
"112031328",1999,7,0,12,0,2,11,0
"112031330",1999,0,0,1,0,2,4,0
"112031331",1999,0,1,0,0,0,11,0
"112031335",1999,1,0,2,3,1,20,0
"112031337",1999,1,0,0,0,0,17,0
"112031340",1999,0,0,6,2,0,13,0
"112031342",1999,0,0,6,2,2,20,0
